	Name	X Rx(m)	Y Rx(m)	Z Rx(m)	Tx<->Rx(m)	Loop	Freq.(Hz)	Moment(mA.m2)	Primary Field(mGamma)	HZ Ip(%)	HX Ip(%)	HY Ip(%)	HZ Op(%)	HX Op(%)	HY Op(%)	HZ Mod(mGamma)	HZ Q(mGamma)	HX Mod(mGamma)	HX Q(mGamma)	HY Mod(mGamma)	HY Q(mGamma)	HZ Ovld	HX Ovld
	MU2-100.  	-400.00	0.00	0.00	100.00	H	110.0	252966.5	25.30	7.40	5.30	-1.48	4.35	1.25	11.40	27.19	1.49	1.38	5.20	2.91	2.91	0	0
	MU2-100.  	-400.00	0.00	0.00	100.00	H	220.0	248903.9	24.89	8.63	-7.86	1.26	7.20	-8.98	1.05	27.10	1.09	2.97	1.46	0.41	1.75	0	0
	MU2-100.  	-400.00	0.00	0.00	100.00	H	440.0	244557.4	24.46	9.79	-9.94	-0.75	8.33	-13.75	-0.19	26.93	1.63	4.15	0.99	0.19	1.06	0	0
	MU2-100.  	-400.00	0.00	0.00	100.00	H	880.0	238515.7	23.85	18.28	-19.44	-2.73	8.71	-23.30	0.06	28.29	0.41	7.24	0.48	0.65	0.54	0	0
	MU2-100.  	-400.00	0.00	0.00	100.00	H	1760.0	223419.4	22.34	22.73	-32.28	-3.85	3.39	-32.42	-1.26	27.43	0.36	10.22	0.28	0.91	0.30	0	0
	MU2-100.  	-400.00	0.00	0.00	100.00	H	3520.0	156470.4	15.65	25.54	-50.05	-3.80	-8.18	-38.09	-0.63	19.68	0.43	9.84	0.22	0.60	0.16	0	0
	MU2-100.  	-400.00	0.00	0.00	100.00	H	7040.1	110823.1	11.08	21.80	-72.28	-3.10	-25.17	-39.99	0.69	13.78	0.10	9.15	0.14	0.35	0.07	0	0
	MU2-100.  	-400.00	0.00	0.00	100.00	H	14080.2	60130.9	6.01	3.31	-99.74	-6.60	-46.11	-32.69	1.87	6.80	0.08	6.31	0.16	0.41	0.29	0	0
	MU2-100.  	-400.00	0.00	0.00	100.00	H	28160.4	30015.3	3.00	-43.22	-133.71	-5.25	-63.59	-10.42	4.55	2.56	0.09	4.03	0.15	0.21	0.28	0	0
	MU2-100.  	-400.00	0.00	0.00	100.00	H	56320.8	14951.9	1.50	-156.59	-176.93	-4.61	-58.54	42.92	5.09	1.22	0.12	2.72	0.09	0.10	0.08	0	0
	MU2-100.  	-380.00	0.00	0.00	100.00	H	110.0	253972.7	25.40	3.01	-17.01	-2.22	7.02	-2.70	0.23	26.22	1.34	4.37	4.41	0.57	4.17	0	0
	MU2-100.  	-380.00	0.00	0.00	100.00	H	220.0	248811.1	24.88	7.98	-7.91	0.54	6.07	-6.78	-1.35	26.91	1.05	2.59	1.51	0.36	1.56	0	0
	MU2-100.  	-380.00	0.00	0.00	100.00	H	440.0	244720.9	24.47	10.26	-13.89	-0.13	8.68	-15.06	-0.92	27.07	1.52	5.01	1.02	0.23	1.36	0	0
	MU2-100.  	-380.00	0.00	0.00	100.00	H	880.0	238146.3	23.81	17.00	-21.16	0.67	7.70	-24.21	-0.34	27.92	0.38	7.66	0.45	0.18	0.65	0	0
	MU2-100.  	-380.00	0.00	0.00	100.00	H	1760.0	223467.7	22.35	22.87	-33.48	-0.30	2.78	-32.61	-1.91	27.47	0.32	10.44	0.27	0.43	0.38	0	0
	MU2-100.  	-380.00	0.00	0.00	100.00	H	3520.1	156427.5	15.64	25.81	-52.74	-1.86	-8.26	-38.41	-2.35	19.72	0.43	10.21	0.26	0.47	0.16	0	0
	MU2-100.  	-380.00	0.00	0.00	100.00	H	7040.1	110895.7	11.09	23.95	-75.75	-2.51	-24.43	-40.81	-0.61	14.01	0.09	9.54	0.14	0.29	0.07	0	0
	MU2-100.  	-380.00	0.00	0.00	100.00	H	14080.2	60091.5	6.01	10.53	-102.19	-5.42	-47.51	-36.50	-0.69	7.23	0.09	6.52	0.09	0.33	0.16	0	0
	MU2-100.  	-380.00	0.00	0.00	100.00	H	28160.4	30019.7	3.00	-20.07	-129.99	-7.08	-67.59	-14.64	-0.35	3.14	0.09	3.93	0.10	0.21	0.19	0	0
	MU2-100.  	-380.00	0.00	0.00	100.00	H	56320.9	14905.2	1.49	-72.02	-137.87	-11.00	-76.93	36.86	-1.11	1.22	0.13	2.13	0.08	0.16	0.09	0	0
	MU2-100.  	-360.00	0.00	0.00	100.00	H	110.0	254402.4	25.44	2.51	-1.51	9.78	9.72	-15.07	-2.09	26.20	1.28	3.85	4.71	2.54	3.55	0	0
	MU2-100.  	-360.00	0.00	0.00	100.00	H	220.0	248502.5	24.85	7.39	-8.70	1.31	6.84	-8.39	-1.41	26.74	1.13	3.00	1.68	0.48	1.50	0	0
	MU2-100.  	-360.00	0.00	0.00	100.00	H	440.0	245024.2	24.50	11.05	-10.61	-1.79	7.71	-13.75	0.79	27.28	1.49	4.26	0.95	0.48	1.18	0	0
	MU2-100.  	-360.00	0.00	0.00	100.00	H	880.0	238149.1	23.81	17.03	-16.04	-1.39	9.69	-22.51	-0.03	27.97	0.44	6.58	0.41	0.33	0.52	0	0
	MU2-100.  	-360.00	0.00	0.00	100.00	H	1760.0	223477.3	22.35	23.67	-30.68	-1.19	3.83	-32.11	-0.57	27.65	0.46	9.92	0.27	0.30	0.34	0	0
	MU2-100.  	-360.00	0.00	0.00	100.00	H	3520.1	156492.5	15.65	27.72	-50.03	-2.54	-7.28	-38.55	-0.49	20.02	0.41	9.88	0.23	0.41	0.14	0	0
	MU2-100.  	-360.00	0.00	0.00	100.00	H	7040.1	110864.5	11.09	25.96	-72.02	-1.70	-24.80	-41.30	0.21	14.23	0.09	9.20	0.25	0.19	0.10	0	0
	MU2-100.  	-360.00	0.00	0.00	100.00	H	14080.2	60011.4	6.00	13.27	-97.19	-3.10	-47.98	-35.82	0.23	7.38	0.10	6.22	0.13	0.19	0.18	0	0
	MU2-100.  	-360.00	0.00	0.00	100.00	H	28160.4	30068.6	3.01	-18.96	-125.62	-1.70	-68.44	-13.41	-0.66	3.19	0.11	3.80	0.10	0.05	0.18	0	0
	MU2-100.  	-360.00	0.00	0.00	100.00	H	56320.9	14934.4	1.49	-64.36	-136.10	-3.78	-71.08	35.95	-2.70	1.19	0.13	2.10	0.09	0.07	0.08	0	0
	MU2-100.  	-340.00	0.00	0.00	100.00	H	110.0	253732.1	25.37	4.38	-4.18	2.34	4.50	-12.09	5.40	26.51	1.23	3.24	3.56	1.49	3.75	0	0
	MU2-100.  	-340.00	0.00	0.00	100.00	H	220.0	248870.7	24.89	6.41	-5.21	-3.47	6.59	-4.83	-1.14	26.53	1.09	1.77	1.69	0.91	1.84	0	0
	MU2-100.  	-340.00	0.00	0.00	100.00	H	440.0	245146.6	24.51	9.61	-9.54	-0.27	9.02	-13.64	0.36	26.96	1.53	4.08	1.01	0.11	1.16	0	0
	MU2-100.  	-340.00	0.00	0.00	100.00	H	880.0	238305.7	23.83	18.08	-17.20	-1.16	8.68	-23.65	-1.30	28.22	0.44	6.97	0.44	0.41	0.64	0	0
	MU2-100.  	-340.00	0.00	0.00	100.00	H	1760.0	223244.4	22.32	24.16	-30.54	-2.38	4.03	-31.48	-1.97	27.73	0.40	9.79	0.29	0.69	0.48	0	0
	MU2-100.  	-340.00	0.00	0.00	100.00	H	3520.1	156462.7	15.65	28.64	-49.25	-3.60	-7.52	-38.46	-1.63	20.16	0.40	9.78	0.27	0.62	0.16	0	0
	MU2-100.  	-340.00	0.00	0.00	100.00	H	7040.1	110872.7	11.09	26.63	-70.36	-2.35	-25.21	-40.48	-0.15	14.32	0.11	9.00	0.12	0.26	0.08	0	0
	MU2-100.  	-340.00	0.00	0.00	100.00	H	14080.2	60087.2	6.01	12.46	-96.63	-6.90	-48.89	-34.53	-1.44	7.37	0.08	6.17	0.16	0.42	0.14	0	0
	MU2-100.  	-340.00	0.00	0.00	100.00	H	28160.5	30024.6	3.00	-23.02	-123.87	-9.44	-69.74	-11.77	-0.19	3.12	0.11	3.74	0.14	0.28	0.23	0	0
	MU2-100.  	-340.00	0.00	0.00	100.00	H	56320.9	14952.6	1.50	-66.44	-133.82	-15.50	-72.32	37.84	-2.64	1.19	0.13	2.08	0.08	0.24	0.10	0	0
	MU2-100.  	-320.00	0.00	0.00	100.00	H	110.0	254684.3	25.47	4.45	-3.89	2.60	11.05	1.85	1.70	26.75	1.40	1.10	3.09	0.79	2.67	0	0
	MU2-100.  	-320.00	0.00	0.00	100.00	H	220.0	248185.8	24.82	7.40	-10.94	-4.03	7.92	-6.49	0.47	26.73	1.02	3.16	1.80	1.01	1.66	0	0
