42
# x y z
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
522
# a b m n rhoa ip k
1	2	3	4	3.07411000000000e+02	3.60000000000000e+00	-1.88495559215388e+01
1	2	4	5	3.44894700000000e+02	3.90000000000000e+00	-7.53982236861549e+01
1	2	5	6	3.76531600000000e+02	4.40000000000000e+00	-1.88495559215388e+02
1	2	6	7	4.07063800000000e+02	7.00000000000000e+00	-3.76991118430775e+02
1	2	7	8	3.30070900000000e+02	9.30000000000000e+00	-6.59734457253855e+02
1	2	8	9	3.20980400000000e+02	1.29000000000000e+01	-1.05557513160617e+03
1	2	9	10	3.63202900000000e+02	1.57000000000000e+01	-1.58336269740927e+03
1	2	10	11	3.20966900000000e+02	2.00000000000000e+01	-2.26194671058463e+03
1	2	11	12	2.22157300000000e+02	2.45000000000000e+01	-3.11017672705390e+03
1	2	12	13	2.26066700000000e+02	3.17000000000000e+01	-4.14690230273857e+03
1	2	13	14	1.37485600000000e+02	3.70000000000000e+01	-5.39097299355998e+03
1	2	14	15	7.97258000000000e+01	4.15000000000000e+01	-6.86123835544022e+03
1	2	15	16	6.01055000000000e+01	4.78000000000000e+01	-8.57654794430010e+03
1	2	16	17	2.43625000000000e+01	5.92000000000000e+01	-1.05557513160616e+04
1	2	17	18	4.14019000000000e+01	4.52000000000000e+01	-1.28176980266464e+04
1	2	18	19	3.54303000000000e+01	6.57000000000000e+01	-1.53812376319761e+04
1	2	19	20	2.19657000000000e+01	7.51000000000000e+01	-1.82652196879705e+04
1	2	20	21	2.32348000000000e+01	7.55000000000000e+01	-2.14884937505537e+04
1	2	21	22	2.50558000000000e+01	4.68000000000000e+01	-2.50699093756472e+04
1	2	22	23	6.28270000000000e+00	-1.07200000000000e+02	-2.90283161191691e+04
1	2	23	24	3.75695000000000e+01	5.21000000000000e+01	-3.33825635370461e+04
1	2	24	25	2.45696000000000e+01	1.85000000000000e+01	-3.81515011851947e+04
2	3	4	5	2.80087800000000e+02	3.30000000000000e+00	-1.88495559215388e+01
2	3	5	6	3.58674800000000e+02	3.40000000000000e+00	-7.53982236861549e+01
2	3	6	7	4.22084300000000e+02	5.00000000000000e+00	-1.88495559215388e+02
2	3	7	8	3.65703300000000e+02	6.50000000000000e+00	-3.76991118430775e+02
2	3	8	9	3.69716300000000e+02	9.30000000000000e+00	-6.59734457253855e+02
2	3	9	10	4.32685900000000e+02	1.11000000000000e+01	-1.05557513160617e+03
2	3	10	11	3.92448100000000e+02	1.44000000000000e+01	-1.58336269740927e+03
2	3	11	12	2.78135000000000e+02	1.80000000000000e+01	-2.26194671058463e+03
2	3	12	13	2.79896100000000e+02	2.38000000000000e+01	-3.11017672705390e+03
2	3	13	14	1.71695300000000e+02	2.85000000000000e+01	-4.14690230273857e+03
2	3	14	15	1.05742900000000e+02	3.19000000000000e+01	-5.39097299355998e+03
2	3	15	16	7.37165000000000e+01	3.87000000000000e+01	-6.86123835544022e+03
2	3	16	17	3.75264000000000e+01	4.48000000000000e+01	-8.57654794430010e+03
2	3	17	18	6.16136000000000e+01	5.18000000000000e+01	-1.05557513160616e+04
2	3	18	19	3.44932000000000e+01	5.77000000000000e+01	-1.28176980266464e+04
2	3	19	20	2.78403000000000e+01	6.88000000000000e+01	-1.53812376319761e+04
2	3	20	21	2.23670000000000e+01	6.56000000000000e+01	-1.82652196879705e+04
2	3	21	22	2.01478000000000e+01	7.94000000000000e+01	-2.14884937505537e+04
2	3	22	23	7.71810000000000e+00	5.21000000000000e+01	-2.50699093756472e+04
2	3	23	24	2.41140000000000e+01	9.23000000000000e+01	-2.90283161191691e+04
2	3	24	25	1.06527000000000e+01	-1.05000000000000e+01	-3.33825635370461e+04
3	4	5	6	3.00256400000000e+02	2.50000000000000e+00	-1.88495559215388e+01
