# x	g
0.000000000000000000e+00	1.195000000000000284e+00
3.317433380751528205e+01	1.106000000000001648e+00
6.642740518475409317e+01	1.030999999999998806e+00
1.106012033017622542e+02	8.350000000000008527e-01
1.554625399122711826e+02	6.150000000000019895e-01
1.984900078422980414e+02	2.430000000000021032e-01
2.381194218050970051e+02	6.799999999999783995e-02
2.841489599238301480e+02	7.200000000000272848e-02
3.268958164535616788e+02	2.100000000000079581e-02
3.749973518296133079e+02	3.799999999999670308e-02
4.174782563712437309e+02	-1.510000000000033538e-01
4.609892392928666709e+02	-1.330000000000026716e-01
5.084761563493146355e+02	-1.319999999999978968e-01
5.554190094580849291e+02	-1.289999999999977831e-01
6.009523725129855620e+02	-6.300000000000238742e-02
6.433905982957707010e+02	-2.600000000000335376e-02
6.873140671457824737e+02	1.599999999999823785e-02
7.326527554119629713e+02	9.899999999999664624e-02
7.762469120586266627e+02	8.100000000000306954e-02
8.204855759024802637e+02	8.400000000000318323e-02
8.650564446451877529e+02	1.039999999999992042e-01
9.098942631320128385e+02	5.799999999999982947e-02
9.560318280834646885e+02	1.200000000000045475e-02
1.002164349609261535e+03	-6.000000000000227374e-02
1.047989434079463535e+03	-1.109999999999971010e-01
1.093151358472073071e+03	-1.289999999999977831e-01
1.140346087076708045e+03	-6.400000000000005684e-02
1.186143177608478254e+03	-3.699999999999903366e-02
1.232264418591562162e+03	-3.000000000000113687e-02
1.279283202896603598e+03	-1.180000000000021032e-01
1.324470974325419775e+03	-2.239999999999966462e-01
1.372522051423158928e+03	-3.359999999999985221e-01
1.422518343048357565e+03	-4.179999999999992610e-01
1.473379748959501057e+03	-4.510000000000005116e-01
1.524770526343190568e+03	-4.420000000000001705e-01
1.572203669935429161e+03	-5.090000000000003411e-01
1.620468560876755191e+03	-5.429999999999992610e-01
1.671275151021552347e+03	-4.919999999999973284e-01
1.718028411041310846e+03	-3.909999999999982379e-01
1.754686075223630496e+03	-4.189999999999969305e-01
1.811900981435745507e+03	-5.279999999999986926e-01
1.858337017886640297e+03	-6.820000000000021600e-01
1.908377983783205764e+03	-8.089999999999974989e-01
1.958525500237267579e+03	-9.249999999999971578e-01
1.999006701614492158e+03	-1.064000000000000057e+00
2.047955474808548388e+03	-1.057999999999999829e+00
2.097387714621183932e+03	-1.139000000000002899e+00
2.146306161136309129e+03	-1.378999999999997783e+00
2.194152792240826329e+03	-1.634000000000000341e+00
2.242222919302219907e+03	-1.784999999999996589e+00
2.291363778754376199e+03	-1.976999999999996760e+00
2.344027302592301112e+03	-2.174999999999997158e+00
2.393091240746554377e+03	-2.299999999999997158e+00
2.442799178342801497e+03	-2.505000000000002558e+00
2.482294590012257686e+03	-2.685999999999999943e+00
2.529558783696958471e+03	-2.787999999999996703e+00
2.580991861894682188e+03	-2.914999999999999147e+00
2.631665175016473768e+03	-3.027000000000001023e+00
2.683464530124505927e+03	-3.225000000000001421e+00
2.733638260077430914e+03	-3.406999999999996476e+00
2.791715213525716536e+03	-3.765000000000000568e+00
2.842159268264804268e+03	-3.987000000000001876e+00
2.892617707487575899e+03	-4.240000000000001990e+00
2.940071795982520598e+03	-4.484000000000001762e+00
2.992300739843142310e+03	-4.555999999999997385e+00
3.032178907607976726e+03	-4.691000000000002501e+00
3.072048245896924982e+03	-4.779000000000003467e+00
3.111921718946236069e+03	-4.850000000000001421e+00
3.131858735448664902e+03	-4.865999999999999659e+00
3.151791057235571316e+03	-4.918999999999996930e+00
3.171736903213499318e+03	-4.963999999999998636e+00
3.191669225000456208e+03	-5.006999999999997897e+00
3.210604461226364037e+03	-5.046999999999997044e+00
3.225556049923855426e+03	-5.073999999999998067e+00
3.251488544028133219e+03	-5.177999999999997272e+00
3.271407341623142202e+03	-5.194000000000002615e+00
3.291318989608466836e+03	-5.219999999999998863e+00
3.311281374628050798e+03	-5.295000000000001705e+00
3.327230048886538953e+03	-5.331000000000003070e+00
3.339199210377461895e+03	-5.353000000000001535e+00
3.351129479160258143e+03	-5.337000000000003297e+00
3.363028434989823836e+03	-5.374000000000002331e+00
3.371103708504997485e+03	-5.384000000000000341e+00
3.381086193366843872e+03	-5.405999999999998806e+00
3.391056489020247682e+03	-5.417999999999999261e+00
3.401022089958180004e+03	-5.439000000000000057e+00
3.410992385612021280e+03	-5.433999999999997499e+00
3.420987834709729668e+03	-5.447000000000002728e+00
3.430958690318680055e+03	-5.465000000000003411e+00
3.440929545927681374e+03	-5.487999999999999545e+00
3.451897487097629892e+03	-5.506999999999997897e+00
3.458877086023688662e+03	-5.523000000000003240e+00
3.468847941632639049e+03	-5.551000000000001933e+00
3.476824626120082030e+03	-5.564000000000000057e+00
3.483804225046141255e+03	-5.576000000000000512e+00
3.490783823972586106e+03	-5.591000000000001080e+00
3.500763509057524516e+03	-5.604999999999996874e+00
3.510734364666474448e+03	-5.618000000000002103e+00
3.518711049153480417e+03	-5.640999999999998238e+00
3.530676075884426609e+03	-5.662999999999996703e+00
3.550617787102429247e+03	-5.701999999999998181e+00
3.570559498320380953e+03	-5.746999999999999886e+00
3.590510039014269751e+03	-5.789000000000001478e+00
3.610451750232221002e+03	-5.817999999999997840e+00
3.650335172668123960e+03	-5.859000000000001762e+00
3.690227424580015850e+03	-5.954999999999998295e+00
3.730110847015919262e+03	-6.030000000000001137e+00
3.770003098927759311e+03	-6.107999999999996987e+00
3.787914245754996045e+03	-6.121999999999999886e+00
3.844840251909398376e+03	-6.250000000000000000e+00
3.894678665367626309e+03	-6.350000000000001421e+00
3.938195073487484933e+03	-6.329999999999998295e+00
3.984658680001480207e+03	-6.353999999999999204e+00
4.028917591328213348e+03	-6.451000000000000512e+00
4.073104272245077482e+03	-6.533999999999998920e+00
4.116137781356776031e+03	-6.597000000000001307e+00
4.162818728146646208e+03	-6.713999999999998636e+00
4.209213601447071596e+03	-6.829999999999998295e+00
4.253881201169705491e+03	-6.942000000000000171e+00
4.291757903083373094e+03	-7.040999999999996817e+00
4.340630507042969839e+03	-7.164000000000001478e+00
4.387147836205378553e+03	-7.304000000000002046e+00
4.431233992437265442e+03	-7.432000000000002160e+00
4.485748776634345631e+03	-7.601999999999996760e+00
4.561120882888948472e+03	-7.832000000000000739e+00
4.608240544416536068e+03	-7.957999999999998408e+00
4.657498211803843333e+03	-8.079000000000000625e+00
4.713655441396025708e+03	-8.167999999999999261e+00
4.760304449151630251e+03	-8.238999999999997215e+00
4.807680700028120555e+03	-8.307000000000002160e+00
4.854886858122392368e+03	-8.359000000000001762e+00
4.903659208497700092e+03	-8.387000000000000455e+00
4.951138965845937491e+03	-8.429000000000002046e+00
4.997283699544975207e+03	-8.475000000000001421e+00
5.042689000914348071e+03	-8.508000000000002672e+00
5.088960625571535275e+03	-8.560000000000002274e+00
5.134494749729358773e+03	-8.567999999999997840e+00
5.180180098716045904e+03	-8.625999999999997669e+00
5.226620136290071969e+03	-8.658999999999998920e+00
5.273249301300767002e+03	-8.712000000000003297e+00
5.320995196474404111e+03	-8.764000000000002899e+00
5.379613235911522679e+03	-8.825000000000002842e+00
5.426257727133593107e+03	-8.881000000000000227e+00
5.473605728280554104e+03	-8.948000000000000398e+00
5.521558357641791190e+03	-9.042000000000001592e+00
5.576862495456200122e+03	-9.131000000000000227e+00
5.640282227396886810e+03	-9.192999999999997840e+00
5.687983785526208521e+03	-9.289000000000001478e+00
5.743410972220597614e+03	-9.351999999999996760e+00
5.792626683676566245e+03	-9.375999999999997669e+00
5.839962666142791022e+03	-9.405999999999998806e+00
5.888766281097772662e+03	-9.420999999999999375e+00
5.937706168787616662e+03	-9.412999999999996703e+00
5.984833469926686121e+03	-9.398000000000003240e+00
6.031621286747757040e+03	-9.368999999999999773e+00
6.079114905515330065e+03	-9.323000000000000398e+00
6.126511489138527395e+03	-9.310999999999999943e+00
6.176773306433125981e+03	-9.280000000000001137e+00
6.224038868164758242e+03	-9.235999999999997101e+00
6.276491178172846958e+03	-9.183999999999997499e+00
6.323916834927424134e+03	-9.107999999999996987e+00
6.371315394926116824e+03	-8.981999999999999318e+00
6.419812863263916370e+03	-8.862999999999999545e+00
6.471137025101633299e+03	-8.759999999999998010e+00
6.516979628616648370e+03	-8.738999999999997215e+00
6.557101725658586474e+03	-8.768000000000000682e+00
6.612164390474221364e+03	-8.500000000000000000e+00
6.657762791167791875e+03	-8.316000000000002501e+00
6.702073171396051293e+03	-8.136000000000002785e+00
6.754952841818010711e+03	-7.878999999999997783e+00
6.821044316234306280e+03	-7.534999999999996589e+00
6.883355473032624104e+03	-7.148000000000003240e+00
6.948969398473745059e+03	-6.576000000000000512e+00
7.046704093223417658e+03	-5.057999999999999829e+00
7.174763142250379133e+03	-1.685999999999999943e+00
7.249529634016406817e+03	-3.549999999999968736e-01
